"country","happinessRank","score","pop2021"
"Finland","1","7.8090","5548.3600"
"Denmark","2","7.6460","5813.2980"
"Switzerland","3","7.5600","8715.4940"
"Iceland","4","7.5040","343.3530"
"Norway","5","7.4880","5465.6300"
"Netherlands","6","7.4490","17173.0990"
"Sweden","7","7.3530","10160.1690"
"New Zealand","8","7.3000","4860.6430"
"Austria","9","7.2940","9043.0700"
"Luxembourg","10","7.2380","634.8140"
"Canada","11","7.2320","38067.9030"
"Australia","12","7.2230","25788.2150"
"United Kingdom","13","7.1650","68207.1160"
"Israel","14","7.1290","8789.7740"
"Costa Rica","15","7.1210","5139.0520"
"Ireland","16","7.1290","4982.9070"
"Germany","17","7.0760","83900.4730"
"United States","18","6.9400","332915.0730"
"Czech Republic","19","6.9110","10724.5550"
"Belgium","20","6.8640","11632.3260"
"United Arab Emirates","21","6.7910","9991.0890"
"Malta","22","6.7730","442.7840"
"France","23","6.6640","65426.1790"
"Mexico","24","6.4650","130262.2160"
"Taiwan","25","6.4550","23855.0100"
"Uruguay","26","6.4400","3485.1510"
"Saudi Arabia","27","6.4060","35340.6830"
"Spain","28","6.4010","46745.2160"
"Guatemala","29","6.3990","18249.8600"
"Italy","30","6.3870","60367.4770"
"Singapore","31","6.3770","5896.6860"
"Brazil","32","6.3760","213993.4370"
"Slovenia","33","6.3630","2078.7240"
"El Salvador","34","6.3480","6518.4990"
"Panama","36","6.3050","4381.5790"
"Slovakia","37","6.2810","5460.7210"
"Uzbekistan","38","6.2580","33935.7630"
"Chile","39","6.2280","19212.3610"
"Bahrain","40","6.2270","1748.2960"
"Lithuania","41","6.2150","2689.8620"
"Trinidad and Tobago","42","6.1920","1403.3750"
"Poland","43","6.1860","37797.0050"
"Colombia","44","6.1630","51265.8440"
"Cyprus","45","6.1590","1215.5840"
"Nicaragua","46","6.1370","6702.3850"
"Romania","47","6.1240","19127.7740"
"Kuwait","48","6.1020","4328.5500"
"Mauritius","49","6.1010","1273.4330"
"Kazakhstan","50","6.0580","18994.9620"
"Estonia","51","6.0220","1325.1850"
"Philippines","52","6.0060","111046.9130"
"Hungary","53","6","9634.1640"
"Thailand","54","5.9990","69950.8500"
"Argentina","55","5.9750","45605.8260"
"Honduras","56","5.9530","10062.9910"
"Latvia","57","5.9500","1866.9420"
"Ecuador","58","5.9250","17888.4750"
"Portugal","59","5.9110","10167.9250"
"Jamaica","60","5.8900","2973.4630"
"South Korea","61","5.8720","51305.1860"
"Japan","62","5.8710","126050.8040"
"Peru","63","5.7970","33359.4180"
"Serbia","64","5.7780","8697.5500"
"Bolivia","65","5.7470","11832.9400"
"Pakistan","66","5.6930","225199.9370"
"Paraguay","67","5.6920","7219.6380"
"Dominican Republic","68","5.6890","10953.7030"
"Bosnia and Herzegovina","69","5.6740","3263.4660"
"Moldova","70","5.6080","4024.0190"
"Tajikistan","71","5.5560","9749.6270"
"Montenegro","72","5.5460","628.0530"
"Russia","73","5.5460","145912.0250"
"Kyrgyzstan","74","5.5420","6628.3560"
"Belarus","75","5.5400","9442.8620"
"Greece","77","5.5150","10370.7440"
"Hong Kong","78","5.5100","7552.8100"
"Croatia","79","5.5050","4081.6510"
"Libya","80","5.4890","6958.5320"
"Mongolia","81","5.4560","3329.2890"
"Malaysia","82","5.3840","32776.1940"
"Vietnam","83","5.3530","98168.8330"
"Indonesia","84","5.2860","276361.7830"
"Ivory Coast","85","5.2330","27053.6290"
"Benin","86","5.2160","12451.0400"
"Maldives","87","5.1980","543.6170"
"Republic of the Congo","88","5.1940","5657.0130"
"Azerbaijan","89","5.1650","10223.3420"
"Macedonia","90","5.1600","2082.6580"
"Ghana","91","5.1480","31732.1290"
"Nepal","92","5.1370","29674.9200"
"Turkey","93","5.1320","85042.7380"
"China","94","5.1240","1444216.1070"
"Turkmenistan","95","5.1190","6117.9240"
"Bulgaria","96","5.1020","6896.6630"
"Morocco","97","5.0950","37344.7950"
"Cameroon","98","5.0850","27224.2650"
"Venezuela","99","5.0530","28704.9540"
"Algeria","100","5.0050","44616.6240"
"Senegal","101","4.9810","17196.3010"
"Guinea","102","4.9490","13497.2440"
"Niger","103","4.9100","25130.8170"
"Laos","104","4.8890","7379.3580"
"Albania","105","4.8830","2872.9330"
"Cambodia","106","4.8480","16946.4380"
"Bangladesh","107","4.8330","166303.4980"
"Gabon","108","4.8290","2278.8250"
"South Africa","109","4.8140","60041.9940"
"Iraq","110","4.7850","41179.3500"
"Lebanon","111","4.7720","6769.1460"
"Burkina Faso","112","4.7690","21497.0960"
"Gambia","113","4.7510","2486.9450"
"Mali","114","4.7290","20855.7350"
"Nigeria","115","4.7240","211400.7080"
"Armenia","116","4.6770","2968.1270"
"Georgia","117","4.6730","3979.7650"
"Iran","118","4.6720","85028.7590"
"Jordan","119","4.6330","10269.0210"
"Mozambique","120","4.6240","32163.0470"
"Kenya","121","4.5830","54985.6980"
"Namibia","122","4.5710","2587.3440"
"Ukraine","123","4.5610","43466.8190"
"Liberia","124","4.5580","5180.2030"
"Palestine","125","4.5530","5222.7480"
"Uganda","126","4.4320","47123.5310"
"Chad","127","4.4230","16914.9850"
"Tunisia","128","4.3920","11935.7660"
"Mauritania","129","4.3750","4775.1190"
"Sri Lanka","130","4.3270","21497.3100"
"DR Congo","131","4.3110","92377.9930"
"Swaziland","132","4.3080","1172.3620"
"Myanmar","133","4.3080","54806.0120"
"Comoros","134","4.2890","888.4510"
"Togo","135","4.1870","8478.2500"
"Ethiopia","136","4.1860","117876.2270"
"Madagascar","137","4.1660","28427.3280"
"Egypt","138","4.1510","104258.3270"
"Sierra Leone","139","3.9260","8141.3430"
"Burundi","140","3.7750","12255.4330"
"Zambia","141","3.7590","18920.6510"
"Haiti","142","3.7210","11541.6850"
"Lesotho","143","3.6530","2159.0790"
"India","144","3.5730","1393409.0380"
"Malawi","145","3.5380","19647.6840"
"Yemen","146","3.5270","30490.6400"
"Botswana","147","3.4790","2397.2410"
"Tanzania","148","3.4760","61498.4370"
"Central African Republic","149","3.4760","4919.9810"
"Rwanda","150","3.3120","13276.5130"
"Zimbabwe","151","3.2990","15092.1710"
"South Sudan","152","2.8170","11381.3780"
"Afghanistan","153","2.5670","39835.4280"
